from;to
kerjangomong;kerja ngomong
kerjapara;kerja para
kerjapemerintah;kerja pemerintah
kerjapemprov;kerja pemprov
kerjapermasalahan;kerja permasalahan
kerjapetani;kerja petani
kerjapjs;kerja pjs
kerjapks;kerja pks
kerjapolda;kerja polda
kerjapolisi;kerja polisi
kerjapolitikus;kerja politikus
kerjapolsek;kerja polsek
kerjaprabowo;kerja prabowo
kerjarapat;kerja rapat
kerjaratusan;kerja ratusan
kerjarekonstruksi;kerja kontruksi
kerjarektor;kerja rektor
kerjarespons;kerja respons
kerjaribuan;kerja ribuan
kerjaruu;kerja rancangan undang undang
kerjasby;kerja sby
kerjasimak;kerja simak
kerjaskandal;kerja skandal
kerjasudah;kerja sudah
kerjasultan;kerja sultan
kerjasurabaya;kerja surabaya
kerjaterlibat;kerja terlibat
kerjatirani;kerja tirani
kerjatok;kerja doang
kerjatuai;kerja tuai
kerjaturn;kerja turn
kerjatweet;kerja tweet
kerjaumat;kerja umat
kerjavideo;kerja video
kerjaviral;kerja viral
kerjawakil;kerja wakil
kerjawalhi;kerja walhi
kerjawow;kerja
kerjha;kerja
kerjo;walhi
kerna;karena
kertasruu;kertas rancangan undang undang
kerumuman;kerumunan
kerusakn;kerusakan
kesalahpaham;salah paham
kesalahpahaman;salah paham
kesampingin;samping
kesana;ke sana
kesannnya;kesan
kesehatanya;kesehatan
kesel;kesal
kesiap;siap
kesiapsiagaan;siap siaga
kesimpangsiuran;simpang siur
kesini;ke sini
kesos;kesejahteraan sosial
kesusu;ke susu
ketangkep;tertangkap
ketapel;katapel
ketegakerjaan;ketenagakerjaan
ketemuin;ketemu
ketenagak;tenaga
ketenagakerjaa;ketenagakerjaan
ketenagakerjaanbedah;ketenagakerjaan bedah
ketenagakerjaandpr;ketenagakerjaan dewan perwakilan rakyat
ketenegakerjaan;ketenagakerjaan
ketengakerjaan;ketenagakerjaan
keterangn;keterangan
ketidaksetujuannya;ketidaksetujuan
ketja;kerja
ketuadpr;ketua dewan perwakilan rakyat
ketulungan;tertolong
keuangannegara;keuangan negara
keukeuh;berupaya keras
keun;xyz
key;kayak
kga;kagak
kgk;kagak
kh;xyz
khn;xyz
khup;kitab hukum undang undang pidana
ki;xyz
kieu;begini
kii;xyz
kip;kartu indonesia pintar
kirimin;kirim
kiro;kira
kitamarak;kita marak
kite;kita
kitinggi;tinggi
kiwo;kiri
kiyai;kiai
kjp;kartu jakarta pintar
kk;kakak
kkb;kelompok kriminal bersenjata
kkn;kuliah kerja nyata
kkp;kementerian kelautan dan perikanan
kl;kalau
klao;kalau
klaparan;kelaparan
klarfikasi;klarifikasi
klarifikasihoax;klarifikasi hoax
klaster;kluster
klasterl;kluster
klau;kalau
klean;kalian
klen;kalian
klennn;kalian
kleru;keliru
kleyan;kalian
klian;kalian
kliatan;kelihatan
klikanggaran;klik anggaran
klikseleb;klik selebriti
klmtd;kaum lemah miskin tersingkir dan difabel
klo;kalau
kls;kelas
klu;kalau
kluarga;keluarga
kluarin;keluarkan
kluyuran;keluyuran
klw;kalau
km;kamu
kmakan;termakan
kmana;kemana
kmaren;kemarin
kmarin;kemarin
kmhdi;kesatuan mahasiswa hindu dharma indonesia
kmi;kami
kmn;kemana
kmren;kemarin
kmrn;kemarin
kmu;kamu
kmudahan;kemudahan
kn;xyz
kna;kena
knap;kenapa
knapa;kenapa
knp;kenapa
knpa;kenapa
kntl;kontol
kntlkmbg;kontol kambing
kntrak;kontrak
ko;xyz
koe;kamu
koeprasi;koperasi
kofederasi;konfederasi
kok;xyz
komen;komentar
komenfo;kominfo
komenin;komentar
komennya;komentar
koment;komentar
komersialisaasi;komersialisasi
komo;bahkan
kompasbuntut;kompas buntut
kompasmembandingkan;kompas membandingkan
kompastv;kompas tv
komperhensif;komprehensif
komporin;kompor
komrsil;komersil
konco;teman
konconan;teman
kondinya;kondisi
konfersi;konversi
konfik;konflik
konfrensi;konferensi
kono;sana
konora;xyz
konpetensi;kompetensi
konsepny;konsep
konstitus;konstitusi
konstitusivideo;konstitusi video
konstitutional;konstitusional
kontenislam;konten islam
kontorversial;kontroversial
kontroversiapa;kontroversi apa
kontroversipengesahan;kontroversi pengesahan
koq;xyz
korang;kamu
korbanin;korban
korbantak;korban tak
korona;corona
koronasoal;corona soal
koropsi;korupsi
korup;korup
korupsi;korupsi
kot;xyz
kotapontianak;kota pontianak
kou;kamu
kouta;kuota
kovid;covid
kowe;kamu
koyo;kayak
koyok;kayak
kpa;konsorsium pembaruan agraria
kpada;kepada
kpd;kepada
kpda;kepada
kpentingan;kepentingan
kpercayaan;kepercayaan
kpikiran;pikir
kpitalis;kapitalis
kpmponen;komponen
kpn;kapan
kpolisian;kepolisian
kpopan;kpop
kpopers;kpop
kpoppers;kpop
kpp;kantor pelayanan pajak
kpr;kredit pemilikan rumah
kq;xyz
kr;xyz
krasitanpaanarki;kreasi tanpa anarki
kren;keren
krena;karena
krg;kurang
kri;kiri
kritikangunakan;kritikan gunakan
krj;kerja
krja;kerja
krl;kiri
krm;kirim
krn;karena
krna;karena
krndi;karena di
krng;kurang
krorupsi;korupsi
kroscek;memeriksa kembali
krpi;konfederasi rakyat pekerja indonesia
krpiperppubatalkanuucipker;krpi perpu batalkan undang undang cipta kerja
krusakan;kerusakan
krw;karyawan
krywn;karyawan
ks;xyz
ksh;kasih
ksimpuln;kesimpulan
kslian;kalian
ksp;kantor staf presiden
ktanya;kata
ktenagakrjaan;ketenagakerjaan
ktika;ketika
ktipu;ketipu
ktny;kata
ktnya;kata
ktok;ketok
ktta;kita
ku;aku
kuaaattt;kuat
kuarng;kurang
kudanilll;kuda nil
kudasholat;kuda salat
kudet;kurang update
kudu;harus
kudune;harus
kuhp;kitab undang undang hukum pidana
kui;itu
kulakuin;aku lakukan
kulo;aku
kulyeah;kuliah
kumpas;kompas
kunker;kunjungan kerja
kur;xyz
kurangpaham;kurang paham
kuuy;ayo
kuyy;ayo
kvrang;kurang
kw;palsu
kwadrat;kuadrat
kwan;kawan
kwasan;kawasan
kwe;kamu
kwi;konferensi waligereja indonesia
kwn;kawan
kwrja;kerja
ky;kayak
kya;kayak
kyai;kiai
kyak;kayak
kyk;kayak
kyknya;kayak
kyubinya;kyubi
kyynelkaasulla;xyz
la;xyz
laa;xyz
laah;xyz
lab;lab
labor;buruh
laborers;buruh
labour;buruh
lacking;kurang
ladusing;polisi
laen;lain
lag;lagi
lagipandemi;lagi pandemi
lagipula;lagi pula
lagitolak;lagi tolak
lah;xyz
lahat;lahad
lahaulawalakuwatailabillah;lahaulawalaquwataillabillah
lahh;xyz
lai;xyz
lainnyaadanya;lainnya adanya
lainnyaakar;lainnya akar
lainnyaaku;lainnya aku
lainnyaalasan;lainnya alasan
lainnyaalhamdulillah;lainnya alhamdulillah
lainnyaanehnya;lainnya aneh
lainnyaanying;lainnya anying
lainnyaapalagi;lainnya apa lagi
lainnyaartinya;lainnya artiinya
lainnyaaya;lainnya ada
lainnyabaca;lainnya baca
lainnyabaik;lainnya baik
lainnyabaleg;lainnya baleg
lainnyaberarti;lainnya berarti
lainnyaberdasarkan;lainnya berdasarkan
lainnyabetul;lainnya betul
lainnyabisa;lainnya bisa
lainnyabodoh;lainnya bodoh
lainnyabu;lainnya abu
lainnyacari;lainnya cari
lainnyacie;lainnya cie
lainnyacoba;lainnya coba
lainnyadah;lainnya sudah
lainnyadari;lainnya dari
lainnyadia;lainnya dia
lainnyadimusuhin;lainnya musuh
lainnyadraft;lainnya draf
lainnyaeh;lainnya 
lainnyaemgnya;lainnya emangnya
lainnyaeta;lainnya itu
lainnyafasum;lainnya fasum
lainnyafederasi;lainnya federasi
lainnyaga;lainnya tidak
lainnyagak;lainnya agak
lainnyagini;lainnya begini
lainnyaingat;lainnya ingat
lainnyaini;lainnya ini
lainnyaitu;lainnya itu
lainnyajadi;lainnya jadi
lainnyakadang;lainnya kadang
lainnyakalau;lainnya kalau
lainnyakalian;lainnya kalian
lainnyakalo;lainnya kalau
lainnyakan;lainnya 
lainnyakarena;lainnya karena
lainnyakasih;lainnya kasih
lainnyakasihan;lainnya kasihan
lainnyakeleluasaan;lainnya keleluasaan
lainnyakepala;lainnya kepala
lainnyakirang;lainnya kirang
lainnyalagian;lainnya lagian
lainnyalebih;lainnya lebih
lainnyalhawong;lainnya orang
lainnyalu;lainnya kamu
lainnyamakanya;lainnya makanya
lainnyamas;lainnya mas
lainnyamasih;lainnya masih
lainnyamau;lainnya mau
lainnyameluruskan;lainnya meluruskan
lainnyamemang;lainnya memang
lainnyamemperjelas;lainnya memperjelas
lainnyanamun;lainnya namun
lainnyanarasi;lainnya narasi
lainnyanech;lainnya ini
lainnyanek;lainnya kalau
lainnyaoke;lainnya oke
lainnyaopini;lainnya opini
lainnyaorang;lainnya orang
lainnyaowalah;lainnya oalah
lainnyapa;lainnya apa
lainnyapasal;lainnya pasal
lainnyapenjelasan;lainnya penjelasan
lainnyaperlu;lainnya perlu
lainnyarakuat;lainnya tidak kuat
lainnyarapat;lainnya rapat
lainnyaruu;lainnya rancangan undang undang
lainnyasalah;lainnya salah
lainnyasaya;lainnya saya
lainnyasebelum;lainnya sebelum
lainnyasemoga;lainnya semoga
lainnyasetelah;lainnya setelah
lainnyasetuju;lainnya setuju
lainnyasiapa;lainnya siapa
lainnyasohibul;lainnya sohibul
lainnyasudah;lainnya sudah
lainnyatak;lainnya tak
lainnyatapi;lainnya tapi
lainnyaterus;lainnya terus
lainnyatolong;lainnya tolong
lainnyatukang;lainnya tukang
lainnyaudah;lainnya sudah
lainnyaurg;lainnya orang
lainnyaw;lainnya
lainnyawaw;lainnya
lainnyaya;lainnya ada
lainnyayang;lainnya sayang
lainnyayg;lainnya sayang
lainnyayuk;lainnya ayo
lak;xyz
lamamenaker;lama menaker
lamaruu;lama rancangan undang undang
lambene;lambe
lampungberujung;lampung berujung
lamteng;lampung tengah
land;tanah
landasane;landasan
landmine;ranjau darat
lanj;lanjut
lanjutin;lanjutkan
lapangankerja;lapangan kerja
lar;xyz
lasekar;laskar
lawhoax;law hoax
lawkondisi;law kondisi
lawngeri;law ngeri
lawpakar;law pakar
lawpolsek;law polsek
lawsuit;gugatan
lazimpks;lazim pks
lbh;lebih
lbih;lebih
lbp;luhut binsar pandjaitan
lbr;lembar
le;xyz
leb;lebar
lebi;labih
legaldrafting;legal drafting
legislative;legislatif
legowo;lapang dada
leh;boleh
lejen;legenda
lek;xyz
lembuttt;lembut
lempari;lempar
lemparin;lempar
lengkapin;lengkap
lensanasional;lensa nasional
lepar;lempar
less;kurang
lg;lagi
lgi;lagi
lgs;langsung
lgsg;langsung
lgsung;langsung
lh;xyz
lha;xyz
lhaa;xyz
lhk;lingkungan hidup dan kehutanan
lho;xyz
lhoh;xyz
lhoo;xyz
lhotweet;tweet
liat;lihat
liatin;lihat
libatin;libat
librocubicularist;ahli buku
liet;lihat
lieur;pusing
limapuluh;lima puluh
lindungiburuh;lindung buruh
lindungin;lindung
lingakaran;lingkaran
lingkarkediri;lingkar kediri
linknya;link
links;link
liputanrakyat;liputan rakyat
liputo;liput
liyone;lainnya
lkh;xyz
lks;lembaga kerja sama
lma;lama
lmao;xyz
lmbaga;lembaga
lmbr;lembar
lmnd;liga mahasiswa nasional untuk demokrasi
ln;luar negeri
lndungi;lindungi
lngsng;langsung
lnjut;lanjut
lo;kamu
loby;lobi
local;lokal
loe;kamu
logikae;logika
loh;xyz
lok;xyz
lol;xyz
long;panjang
longer;lebih lama
longmarch;perjalanan panjang
loo;xyz
look;lihat
loophole;jalan keluar
lopyusomat;sangat mencintaimu
lost;kalah
lot;banyak
lotim;lombok timur
lots;banyak
love;cinta
loved;cinta
lower;menurunkan
lowest;terendah
lph;lembaga pemeriksa halal
lpi;lembaga pengelola investasi
lsg;langsung
lsi;isi
lsm;lembaga swadaya masyarakat
lu;kamu
lubuklingggau;lubuklinggau
luc;xyz
luck;beruntung
luculucuaan;lucu lucu
lucutin;lucut
lucuu;lucu
luih;lebih
lur;saudara
lurr;saudara
lutweet;kamu tweet
luwih;lebih
lwt;lewat
maah;xyz
maap;maaf
maarip;maarif
maarufamin;ma ruf amin
maassa;masa
maba;mahasiswa baru
mabes;markas besar
maca;baca
macem;macam
maduraruu;madura rancangan undang undang
maen;main
mager;malas gerak
maghrib;magrib
mah;xyz
mahaaiswa;mahasiswa
mahaciwa;mahasiswa
mahapekok;mahasiswa bodoh
mahasewa;mahasiswa
mahasis;mahasiswa
mahasiwa;mahasiswa
mahluk;makhluk
mahu;mau
maids;pelayan
mainannyatweet;mainan tweet
mainin;mainkan
majeur;majer
makadari;maka dari
makane;makanya
makany;makanya
makasar;makassar
makasih;terima kasih
makasii;terima kasih
makassarpenyebar;makassar penyebar
make;pakai
maker;pembuat
makes;membuat
maketin;paket
making;pembuatan
makmak;ibu ibu
maknayasona;makna yasonna
mako;markas komando
maks;maksimal
maksain;maksa
maksudx;maksudnya
maksut;maksud
malay;malaysia
malekat;melekat
malem;malam
maleman;malaman
males;malas
malsm;malam
maluin;malu
mamam;makan
mambahkan;tambah
mambuka;membuka
mambunuh;membunuh
manager;manajer
manasi;mana sih
mane;mana
maneh;kamu
manfaatin;manfaatkan
mangan;makan
mangat;semangat
mangkraknya;mangkrak
manpower;tenaga kerja
mansuhkan;mengesahkan
mantaap;mantap
mantapp;mantap
manteman;teman teman
mantep;mantap
mantrasukabumi;mantra sukabumi
mantul;mantap betul
manufer;manuver
many;banyak
maok;mencuri
maos;baca
mapun;maupun
marahin;marah
marake;marak
march;panjang
masadepan;masa depan
masak;masak
masakan;masak
masal;massal
masalahe;masalahnya
masalh;masalah
masalll;massal
masii;masih
masio;meskipun
mask;topeng
maskerbem;masker bem
maskerr;masker
mass;mas
massa;masa
massif;masif
masu;masuk
masuarakat;masyarakat
masukin;masuk
masy;masyarakat
masyaallah;masya allah
masyakarat;masyarakat
masyakat;masyarakat
masyarak;masyarakat
masyaraka;masyarakat
masyarkaat;masyarakat
masyarkat;masyarakat
masyatakat;masyarakat
masyrakat;masyarakat
matakepri;mata kepri
matanajwa;mata najwa
matanajwapun;mata najwa
matane;matanya
matanews;mata news
mateng;matang
mateni;membunuh
materiel;material
materiil;materil
matiin;matikan
matkul;mata kuliah
matur suwun;terima kasih
mauny;maunya
mawon;sama saja
maxa;maksa
maximal;maksimal
mayan;lumayan
maysarakat;masyarakat
mb;mbak
mba;mbak
mbaca;baca
mbacot;bacot
mbahas;bahas
mbakar;bakar
mbandingin;bandingkan
mbanya;mbak
mbatalno;membatalkan
mbek;xyz
mbendino;tiap hari
mbikin;bikin
mbojo;menikah
mbok;sebaiknya
mbr;masyarakat berpenghasilan rendah
mbuat;buat
mbuh;tidak tau
mbulet;bulat
mbut;jembut
mcm;macam
mdapatkan;mendapatkan
mdh;mudah
mdpt;mendapatkan
mdukung;mendukung
me;saya
meakili;mewakilkan
mean;berarti
means;cara
meant;maksudnya
meanwhile;sementara itu
meatasnamakan;mengatasnamakan
mecah;pecah
mechanism;mekanisme
mediabem;media bem
mediablitar;media blitar
mediapanglima;media panglima
mediasama;media sama
mediaseruni;media seruni
mediaterbongkar;media terbongkar
medramatisir;mendramatisir
medsos;media sosial
medukung;mendukung
meeting;rapat
meh;hampir
meheheheheheheheheh;xyz
mek;cuman
melaksankan;melaksanakan
melakukanya;melakukan
melaluiprosedur;melalui prosedur
melayangtak;melayang tak
melbu;masuk
meledakkanpikirantweet;meledakkan pikiran tweet
melesatpembuat;melesat pembuat
meliguslow;melly goeslaw
mellu;ikut
melu;ikut
memajukam;memajukan
memamfaatkan;memanfaatkan
memamg;memang
memangny;memang
membahasnyadradjad;bahas derajat
membat;membuat
membludaknya;bludak
membohongin;bohong
membuatberita;buat berita
membully;bully
memfaatkan;memanfaatkan
memgesahkan;mengesahkan
meminimalisir;meminimalisir
memlalui;melalui
memnahas;membahas
memper;xyz
memphk;phk
memposting;post
memutarbalikan;putar balik
memutarbalikkan;putar balik
menagatas;atas
menaker;menteri ketenagakerjaan
menandatangani;tanda tangan
menandtangani;tanda tangan
menangg;menang
menantiterawan;menanti terawan
mencekokin;mencekokkan
menciderai;mencederai
menciptkan;menciptakan
mendagri;menteri dalam negeri
mendatangani;tanda tangan
mendiriksn;mendirikan
menegesahkan;mengesahkan
menetapakan;menetapkan
menfess;pesan anonim
mengadudomba;adu domba
mengahadapi;menghadapi
mengahdilka;menghasilkan
mengakomodir;akomodir
mengakusisi;akuisisi
menganalisa;analisa
menganggu;ganggu
mengansitipasi;antisipasi
mengastanamakan;atas nama
mengatasnamakan;atas nama
mengenyampingkan;samping
mengesahakan;mengesahkan
mengganggap;menganggap
mengganggur;menganggur
menggarisbawahi;garis bawah
menggeruduk;geruduk
menggesahkan;mengesahkan
menghadang;menghadang
menghiangkan;menghilangkan
menghslkan;menghasilkan
mengko;nanti
mengratiskan;menggratiskan
mengsahkan;mengesahkan
mengsejaterahkan;mensejahterakan
mengtakan;mengatakan
mengunakan;menggunakan
mengungkapkn;mengungkapkan
mengupload;upload
menhan;menteri pertahanan
meni;sangat
menindaklanjutinya;menindaklanjuti
meninggaltolak;meninggal tolak
meningjat;meningkat
menjd;menjadi
menjdikan;menjadikan
menkeu;menteri keuangan
menko;menteri koordinator
menkoinfo;menteri komuninkasi dan informatika
menkominfo;menteri komuninkasi dan informatika
menkopolhukam;kementerian koordinator bidang politik hukum dan keamanan
menkritik;mengkritik
menkumham;menteri hukum dan hak asasi manusia
mennn;teman
menolakk;menolak
menolakkk;menolak
menomorsatukan;nomor satu
menperin;menteri perindustrian
menperindag;menteri perindustrian dan perdagangan
menrun;menurun
mensehjaterakan;mensejahterakan
mensejahterahkan;mensejahterakan
mensejaterakan;mensejahterakan
mensesneg;menteri sekretaris negara
mensingkronisasi;sinkronisasi
menterimenkominfo;menteri komuninkasi dan informatika
menuampaikan;menyampaikan
menuda;menunda
menuetujui;menyetujui
menuhin;penuh
menung;menunggu
menungso;manusia
menurur;menurut
menurutkutweet;menurut aku tweet
menyakini;meyakini
menyamoaikan;menyampaikan
menyederhakan;menyederhanakan
menyelamtkan;menyelamatkan
menyengsarakn;menyengsarakan
menyengsengsengsengsarayakan;menyengsarakan
menyerhanakan;menyederhanakan
menyingkronkan;menyinkronkan
menyingung;menyinggung
menyluruh;menyeluruh
merahputih;merah putih
merdekaantisipasi;merdeka antisipasi
merekarekaciptakerja;mereka reka cipta kerja
meremix;remix
meren;mungkin
merendinggg;metrending
merespon;merespons
meretweet;tweet
mergo;karena
merjuangin;memperjuangkan
merka;mereka
merngsek;merangsek
mesahkan;mengesahkan
mesahkannya;mengesahkan
mesan;pesan
mesjid;masjid
metrotv;metro tv
metu;keluar
meuren;mungkin
mewaliki;mewakili
meyampaikan;menyampaikan
mformulasikan;memformulasikan
mfud;mahfud
mgk;mungkin
mgkn;mungkin
mgkuti;mengikuti
mh;xyz
mhs;mahasiswa
mhskupukupu;mahasiswa kupu kupu
mhsswa;mahasiswa
mic;mikrofon
micnya;mikrofon
microfon;mikrofon
microphone;mikrofon
mihak;memihak
mijetin;memijat
mijitin;memijat
mikiirrrtweet;pikir tweet
mikir;pikir
mikiri;pikir
mikirij;memikirkan
mikirin;memikirkan
mikirinnya;memikirkan
mikirnya;memikirkan
mikroekonomi;mikro ekonomi
milih;memilih
milu;ikut
milyar;miliar
mimin;admin
mimpin;memimpin
mineralditengah;mineral ditengah
minerba;mineral dan batubara
minifraksi;mini fraksi
minimim;minimum
minimtweet;minim tweet
minioritas;minoritas
miserably;secara menyedihkan
misteriumat;misteri umat
misunderstanding;salah paham
mjd;menjadi
mk;mahkamah konstitusi
mka;maka
mkn;makan
mkne;makanya
mkny;makanya
mknya;makanya
mkpelajar;maka pelajari
mksd;maksud
mksdnya;maksudnya
mksh;terima kasih
mlah;malah
mlaksanakan;melaksanakan
mlakukan;melakukan
mleduk;meleduk
mlh;malah
mlm;malam
mlwn;melawan
mmbaca;membaca
mmbhas;membahas
mmcketua;mmc ketua
mmctok;mmc tok
mmemang;memang
mmg;memang
mmhon;memohon
mmm;xyz
mmng;memang
mmpelajari;mempelajari
mmperjuangkan;memperjuangkan
mmpersiapkan;mempersiapkan
mmpertanyakan;mempertanyakan
mmpertimbangkan;mempertimbangkan
mmprioritas;memprioritaskan
mn;mana
mna;mana
mncabut;mencabut
mndg;mending
mnding;mending
mndpat;mendapat
mndptkan;mendapatkan
mndukung;mendukung
mnerima;menerima
mnfaat;manfaat
mngah;menengah
mngajak;mengajak
mngatakan;mengatakan
mngenai;mengenai
mngesahkan;mengesahkan
mngingatkn;mengingatkan
mngkaji;mengkaji
mngkin;mungkin
mngrti;mengerti
mnguasai;menguasai
mngupas;mengupas
mnjadi;menjadi
mnjd;menjadi
mnjdi;menjadi
mnolak;menolak
mnrt;menurut
mnrtku;menurut aku
mntab;mantap
mnurut;menurut
mnurutku;menurut aku
mnyampaikan;menyampaikan
mnyengsarakn;menyengsarakan
mnyusun;menyusun
mo;mau
mobile;mobil
mobilebaleg;mobil baleg
mobiliaasi;mobilisasi
moco;baca
modall;modal
moment;momen
monasdemo;monas demo
monggo;silahkan
monologue;monolog
month;bulan
monthly;bulanan
mood;suasana hati
morals;moral
mositidakpercaya;mosi tidak percaya
mosok;benarkah
mosora;masa tidak
most;paling
mostly;kebanyakan
motong;memotong
mpeople;orang
mpkta;fakta
mpr;majelis permusyawaratan rakyat
mpun;sudah
mrasa;merasa
mreka;mereka
mripatku;mata aku
mrk;mereka
mrka;mereka
mrupakn;merupakan
msh;masih
mshkah;masih
msih;masih
msk;masuk
mslah;masalah
mslh;masalah
msyarakat;masyarakat
msyrakat;masyarakat
msyrkt;masyarakat
mtm;majelis tinggi mahasiswa
mu;kamu
mudeng;paham
muhammadahsan;muhammad ahsan
muhammadapa;muhammad apa
muhammaddiyah;muhammadiyah
muhammadyiah;muhammadiyah
mui;majelis ulama indonesia
muk;mau
muka;muka
muke;muka
mukroekonomi;mikro ekonomi
mukul;pukul
mukulin;pukul
muleh;pulang
mulpile;multiple
multiratelal;multilateral
mulu;melulu
mumet;pusing
mumpubg;mumpung
muni;bunyi
munine;bunyi
muruh;murah
muslimahnews;muslimah news
musrik;musyrik
musti;mesti
mutualku;mutual aku
mutusin;memutuskan
muwehehehehe;xyz
mw;mau
mwnurut;menurut
mystery;misteri
nabung;menabung
naek;naik
nafas;napas
nahdliyyin;nahdliyin
nahh;nah
nahlo;nah kamu
naikin;naik
naker;ketenagakerjaan
nakes;tenaga kesehatan
nakoni;menanyakan
nakuti;menakuti
nalangin;menalangi
namany;namanya
nambahin;menambahkan
name;namanya
nampak;nampak
nampaknya;nampak
nanam;tanam
nanamin;menanamkan
nangani;menangani
nanganin;menangani
nanggepin;menanggapkan
nanggepinya;menanggapkannya
nangkep;tangkap
nangkepnya;tangkap
nanhan;tahan
nanya;tanya
nanyain;menanyakan
nanyak;menanyakan
naon;apa
napa;kenapa
narkotikamui;narkotika
naro;taruh
narsum;narasumber
nasbung;nasi bungkus
nasehat;nasihat
nasionaltolak;nasional tolak
nasip;nasib
naskh;naskah
nataliuspigai;natalius pigai
nation;nasional
national;nasional
nayar;bayar
ndadak;mendadak
ndak;tidak
ndan;komandan
ndang;segera
ndanio;andaikata
ndasmu;kepalamu
ndelok;lihat
ndemo;demo
nder;sender
nderrr;sender
ndes;gondes
ndess;gondes
ndi;mana
ndik;mana
ndk;tidak
ndleleng;menggoyang
ndlelengan;menggoyangkan
ndompleng;dompleng
ndongkol;dongkol
ndul;gundul
ndungo;berdoa
neangan;mencari
near;dekat
nech;ini
need;butuh
needed;dibutuhkan
needs;kebutuhan
negeritweet;negeri tweet
nego;negosiasi
negri;negeri
negriku;negeriku
neh;ini
nekad;nekat
nembak;menembak
nemen;terlalu
nemerima;menerima
nempo;lihat
nemu;menemukan
nemuin;menemukan
nenambah;menambah
nerapin;menerapkan
neriakin;meneriakkan
nerima;menerima
neroko;neraka
netesin;meneteskan
netizentweet;netizen tweet
newsbaleg;news baleg
newsbareskrim;news bareskrim
newsdemo;news demo
newtweet;new tweet
nexkskkzkzkkzkskakkak;xyz
ng;xyz
nga;enggak
ngab;bang
ngabisin;menghabiskan
ngaconya;ngaco
ngademin;mengademkan
ngadepi;manghadapi
ngafalin;menghafalkan
ngajak;mengajak
ngajakin;mengajak
ngajuin;mengajukan
ngajukan;mengajukan
ngak;enggak
ngakak;ketawa
ngakakbiar;ketawa biar
ngakakk;ketawa
ngaku;mengaku
ngakuin;mengakukan
ngakuni;mengakukan
ngakunya;mengakunya
ngalah;mengalah
ngalahin;mengalahi
ngalamotan;menjilati
ngalor;utara
ngambil;mengambil
ngambrukno;mengambrukkan
ngamuk;mengamuk
ngamukin;mengamukkan
ngancem;mengancam
ngancurin;menghancurkan
ngandel;menghandalkan
ngandelin;menghandalkan
nganggur;menganggur
ngangkat;mengangkat
ngantuk;mengantuk
ngapa;mengapa
ngapaiin;sedang melakukan apa
ngapain;sedang melakukan apa
ngapapain;sedang melakukan apa
ngapunten;permisi
ngarah;mengarah
ngarang;mengarang
ngarasa;merasa
ngaru;pengaruh
ngasal;mengasalkan
ngasi;kasih
ngasih;kasih
ngata;mengumpat
ngatain;mengumpat
ngatur;mengatur
ngaurnya;ngawur
ngawor;ngawur
ngawur;ngawur
ngawurnya;ngawur
nge;xyz
ngeatur;mengatur
ngebaca;membaca
ngebacod;bacot
ngebahas;membahas
ngebakar;membakar
ngebalikin;membalikkan
ngebangun;membangun
ngebangunnya;membangun
ngebatalin;membatalkan
ngebela;membela
ngebelain;membela
ngebenerin;membenarkan
ngebenerinnya;membenarkan
ngebikinin;membuatkan
ngebolehin;membolehkan
ngebuat;membuat
ngebully;bully
ngebut;mengebut
ngecek;mengecek
ngechat;chat
ngecilin;mengecilkan
ngeclaim;klaim
ngedenger;dengar
ngedengerin;dengar
ngedit;edit
ngeditnya;edit
ngedukung;dukung
ngeforward;forward
ngegantung;gantung
ngegas;gas
ngegojek;gojek
ngegunain;guna
ngehadang;hadang
ngehalang;halang
ngehantam;hantam
ngehargai;harga
ngehe;gila
ngehek;gila
ngehujat;hujat
ngehype;hype
ngeja;mengeja
ngejalanin;jalan
ngejelasin;menjelaskan
ngejelek;menjelekkan
ngekei;memberi
ngeklaim;klaim
ngekontrak;kontrak
ngelakuin;melakukan
ngelamar;lamar
ngelancarin;lancar
ngelarang;larang
ngelawak;lawak
ngelawan;lawan
ngelengkapin;lengkap
ngeles;alasan
ngelesss;alasan
ngeliat;lihat
ngelindungin;lindung
ngelonjak;lonjak
ngelu;ikut
ngeluapin;meluapkan
ngeluarin;keluar
ngeluh;mengeluh
ngeluhnya;mengeluh
ngelurusin;lurus
ngemeng;ngomong
ngemis;mengemis
ngene;begini
ngepens;menggemari
ngepost;post
nger;xyz
ngeramein;ramai
ngerancang;rancang
ngerangkum;rangkum
ngerantau;rantau
ngerasa;rasa
ngerasaan;rasa
ngerasain;rasa
ngerengek;rengek
ngereview;review
ngerjain;kerja
ngerjane;kerja
ngerobohin;roboh
ngerti;mengerti
ngertii;mengerti
ngerubah;ubah
ngerugiin;rugi
ngeruk;keruk
ngeruknya;keruk
ngerusak;rusak
ngerusakin;rusak
ngerusuh;rusuh
ngesah;sah
ngesahin;sah
ngesahinnya;sah
ngesahkan;sah
ngesahke;sah
ngesahno;sah
ngesakin;sah
ngeshare;share
ngetik;ketik
ngetok;ketok
ngetweet;tweet
ngetwit;tweet
ngewakilin;wakil
ngewangi;wangi
ngg;enggak
ngga;enggak
nggak;enggak
nggakuat;enggak kuat
nggawe;buat
nggg;enggak
ngggak;enggak
nggk;enggak
nggo;buat
nggombal;gombal
nggon;tempat
ngguyu;ketawa
ngiang;hilang
ngibul;mengibuli
ngide;ide
ngidol;idol
ngidul;selatan
ngijabahi;ijabah
